p	c	rel	tg_p	tg_c	tg_diff	step
7018	20253	-1	2191	0	2191	step 2	
3257	20253	-1	1869	0	1869	step 2	
6762	20253	-1	688	0	688	step 2	
7195	20253	-1	2558	0	2558	step 2	
207336	20253	-1	122	0	122	step 2	
174	30103	-1	6870	0	6870	step 2	
3356	30103	-1	6747	0	6747	step 2	
6461	30103	-1	2722	0	2722	step 2	
1299	30103	-1	2510	0	2510	step 2	
7018	30103	-1	2191	0	2191	step 2	
3257	30103	-1	1869	0	1869	step 2	
2914	30103	-1	1580	0	1580	step 2	
3491	30103	-1	744	0	744	step 2	
3320	30103	-1	698	0	698	step 2	
6762	30103	-1	688	0	688	step 2	
6830	30103	-1	350	0	350	step 2	
12956	30103	-1	261	0	261	step 2	
8220	30103	-1	1905	0	1905	step 2	
4826	30103	-1	1314	0	1314	step 2	
9498	30103	-1	1233	0	1233	step 2	
13335	30103	-1	1046	0	1046	step 2	
4755	30103	-1	786	0	786	step 2	
21859	30103	-1	386	0	386	step 2	
7473	30103	-1	354	0	354	step 2	
577	30103	-1	322	0	322	step 2	
1221	30103	-1	303	0	303	step 2	
6327	30103	-1	287	0	287	step 2	
1273	30103	-1	270	0	270	step 2	
7474	30103	-1	236	0	236	step 2	
7922	30103	-1	197	0	197	step 2	
8151	30103	-1	112	0	112	step 2	
3491	9875	-1	744	0	744	step 2	
6939	9875	-1	10884	0	10884	step 2	
52025	9875	-1	360	0	360	step 2	
207336	9875	-1	122	0	122	step 2	
38154	9875	-1	29	0	29	step 2	
7713	24527	-1	714	0	714	step 2	
52025	24527	-1	360	0	360	step 2	
45147	24527	-1	281	0	281	step 2	
138840	24527	-1	257	0	257	step 2	
207336	24527	-1	122	0	122	step 2	
3356	62044	-1	6747	0	6747	step 2	
6461	62044	-1	2722	0	2722	step 2	
1299	62044	-1	2510	0	2510	step 2	
3257	62044	-1	1869	0	1869	step 2	
3320	62044	-1	698	0	698	step 2	
37100	62044	-1	2148	0	2148	step 2	
12389	62044	-1	1297	0	1297	step 2	
8359	62044	-1	1045	0	1045	step 2	
4637	62044	-1	707	0	707	step 2	
2116	62044	-1	89	0	89	step 2	
37179	62044	-1	51	0	51	step 2	
57187	62044	-1	26	0	26	step 2	
174	63949	-1	6870	0	6870	step 2	
4826	63949	-1	1314	0	1314	step 2	
9498	63949	-1	1233	0	1233	step 2	
32787	63949	-1	973	0	973	step 2	
4637	63949	-1	707	0	707	step 2	
20940	63949	-1	456	0	456	step 2	
6939	198249	-1	10884	0	10884	step 2	
34549	198249	-1	2288	0	2288	step 2	
13030	198249	-1	851	0	851	step 2	
13030	21232	-1	851	0	851	step 2	
15576	21232	-1	744	0	744	step 2	
3356	40627	-1	6747	0	6747	step 2	
1299	40627	-1	2510	0	2510	step 2	
7018	40627	-1	2191	0	2191	step 2	
2914	40627	-1	1580	0	1580	step 2	
6453	40627	-1	648	0	648	step 2	
2828	40627	-1	109	0	109	step 2	
4826	40627	-1	1314	0	1314	step 2	
4755	40627	-1	786	0	786	step 2	
4637	40627	-1	707	0	707	step 2	
3549	40627	-1	576	0	576	step 2	
7922	40627	-1	197	0	197	step 2	
3356	63399	-1	6747	0	6747	step 2	
6461	63399	-1	2722	0	2722	step 2	
1299	63399	-1	2510	0	2510	step 2	
3257	63399	-1	1869	0	1869	step 2	
2914	63399	-1	1580	0	1580	step 2	
3491	63399	-1	744	0	744	step 2	
6453	63399	-1	648	0	648	step 2	
37100	63399	-1	2148	0	2148	step 2	
16735	63399	-1	819	0	819	step 2	
4637	63399	-1	707	0	707	step 2	
7473	63399	-1	354	0	354	step 2	
17676	63399	-1	310	0	310	step 2	
25818	63399	-1	169	0	169	step 2	
5580	63399	-1	135	0	135	step 2	
6939	132164	-1	10884	0	10884	step 2	
52025	132164	-1	360	0	360	step 2	
207336	132164	-1	122	0	122	step 2	
38146	132164	-1	4	0	4	step 2	
52025	139977	-1	360	0	360	step 2	
45147	139977	-1	281	0	281	step 2	
55655	139977	-1	274	0	274	step 2	
64315	139977	-1	94	0	94	step 2	
174	19679	-1	6870	0	6870	step 2	
3356	19679	-1	6747	0	6747	step 2	
6461	19679	-1	2722	0	2722	step 2	
1299	19679	-1	2510	0	2510	step 2	
2914	19679	-1	1580	0	1580	step 2	
701	19679	-1	1238	0	1238	step 2	
6762	19679	-1	688	0	688	step 2	
5511	19679	-1	364	0	364	step 2	
4826	19679	-1	1314	0	1314	step 2	
4637	19679	-1	707	0	707	step 2	
7474	19679	-1	236	0	236	step 2	
6939	141596	-1	10884	0	10884	step 2	
52025	141596	-1	360	0	360	step 2	
45147	141596	-1	281	0	281	step 2	
207336	141596	-1	122	0	122	step 2	
1299	8302	-1	2510	0	2510	step 2	
3320	8302	-1	698	0	698	step 2	
6830	8302	-1	350	0	350	step 2	
6939	8302	-1	10884	0	10884	step 2	
1273	8302	-1	270	0	270	step 2	
174	40934	-1	6870	0	6870	step 2	
6461	40934	-1	2722	0	2722	step 2	
7018	40934	-1	2191	0	2191	step 2	
3257	40934	-1	1869	0	1869	step 2	
2914	40934	-1	1580	0	1580	step 2	
6939	40934	-1	10884	0	10884	step 2	
30844	40934	-1	1411	0	1411	step 2	
9498	40934	-1	1233	0	1233	step 2	
4755	40934	-1	786	0	786	step 2	
577	40934	-1	322	0	322	step 2	
6663	40934	-1	293	0	293	step 2	
6327	40934	-1	287	0	287	step 2	
2686	40934	-1	271	0	271	step 2	
852	40934	-1	254	0	254	step 2	
812	40934	-1	230	0	230	step 2	
45820	40934	-1	227	0	227	step 2	
15695	40934	-1	222	0	222	step 2	
15802	40934	-1	222	0	222	step 2	
5580	40934	-1	135	0	135	step 2	
2687	40934	-1	135	0	135	step 2	
10103	40934	-1	103	0	103	step 2	
3561	40934	-1	79	0	79	step 2	
260	40934	-1	17	0	17	step 2	
25145	40934	-1	12	0	12	step 2	
6939	60230	-1	10884	0	10884	step 2	
31490	60230	-1	152	0	152	step 2	
207336	60230	-1	122	0	122	step 2	
6939	328206	-1	10884	0	10884	step 2	
34465	328206	-1	183	0	183	step 2	
207336	4382	-1	122	0	122	step 2	
45306	4382	-1	9	0	9	step 2	
174	203724	-1	6870	0	6870	step 2	
3356	203724	-1	6747	0	6747	step 2	
6461	203724	-1	2722	0	2722	step 2	
3257	203724	-1	1869	0	1869	step 2	
6939	203724	-1	10884	0	10884	step 2	
33891	203724	-1	2095	0	2095	step 2	
8220	203724	-1	1905	0	1905	step 2	
4637	203724	-1	707	0	707	step 2	
5580	203724	-1	135	0	135	step 2	
19151	203724	-1	88	0	88	step 2	
14618	203724	-1	19	0	19	step 2	
7713	24204	-1	714	0	714	step 2	
52025	24204	-1	360	0	360	step 2	
45147	24204	-1	281	0	281	step 2	
6939	139589	-1	10884	0	10884	step 2	
20473	139589	-1	1336	0	1336	step 2	
206499	139589	-1	289	0	289	step 2	
202662	139589	-1	53	0	53	step 2	
212123	139589	-1	27	0	27	step 2	
174	60022	-1	6870	0	6870	step 2	
3356	60022	-1	6747	0	6747	step 2	
1299	60022	-1	2510	0	2510	step 2	
3257	60022	-1	1869	0	1869	step 2	
2914	60022	-1	1580	0	1580	step 2	
3491	60022	-1	744	0	744	step 2	
6453	60022	-1	648	0	648	step 2	
5511	60022	-1	364	0	364	step 2	
7713	137316	-1	714	0	714	step 2	
4800	137316	-1	397	0	397	step 2	
136106	137316	-1	350	0	350	step 2	
4761	137316	-1	311	0	311	step 2	
207336	51392	-1	122	0	122	step 2	
56457	51392	-1	11	0	11	step 2	
45147	150921	-1	281	0	281	step 2	
174	23344	-1	6870	0	6870	step 2	
3356	23344	-1	6747	0	6747	step 2	
6461	23344	-1	2722	0	2722	step 2	
1299	23344	-1	2510	0	2510	step 2	
6762	23344	-1	688	0	688	step 2	
12956	23344	-1	261	0	261	step 2	
7195	23344	-1	2558	0	2558	step 2	
1221	23344	-1	303	0	303	step 2	
11251	23344	-1	8	0	8	step 2	
174	202053	-1	6870	0	6870	step 2	
3356	202053	-1	6747	0	6747	step 2	
1299	202053	-1	2510	0	2510	step 2	
2914	202053	-1	1580	0	1580	step 2	
3491	202053	-1	744	0	744	step 2	
3320	202053	-1	698	0	698	step 2	
4657	202053	-1	622	0	622	step 2	
34224	42446	-1	309	0	309	step 2	
39251	42446	-1	35	0	35	step 2	
3303	8803	-1	1048	0	1048	step 2	
6730	8803	-1	241	0	241	step 2	
34224	34577	-1	309	0	309	step 2	
52025	9228	-1	360	0	360	step 2	
45147	9228	-1	281	0	281	step 2	
174	26667	-1	6870	0	6870	step 2	
3356	26667	-1	6747	0	6747	step 2	
1299	26667	-1	2510	0	2510	step 2	
3257	26667	-1	1869	0	1869	step 2	
2914	26667	-1	1580	0	1580	step 2	
34224	44017	-1	309	0	309	step 2	
39251	44017	-1	35	0	35	step 2	
34224	57634	-1	309	0	309	step 2	
3356	13172	-1	6747	0	6747	step 2	
34224	13172	-1	309	0	309	step 2	
202	13172	-1	101	0	101	step 2	
57344	49849	-1	335	0	335	step 2	
34224	49849	-1	309	0	309	step 2	
8262	49849	-1	237	0	237	step 2	
12615	49849	-1	203	0	203	step 2	
29084	49849	-1	14	0	14	step 2	
35122	49849	-1	2	0	2	step 2	
34224	60202	-1	309	0	309	step 2	
8758	196621	-1	1352	0	1352	step 2	
15576	196621	-1	744	0	744	step 2	
174	62597	-1	6870	0	6870	step 2	
3356	62597	-1	6747	0	6747	step 2	
1299	62597	-1	2510	0	2510	step 2	
2914	62597	-1	1580	0	1580	step 2	
3491	62597	-1	744	0	744	step 2	
6762	62597	-1	688	0	688	step 2	
37100	62597	-1	2148	0	2148	step 2	
4755	62597	-1	786	0	786	step 2	
36236	62597	-1	457	0	457	step 2	
37271	62597	-1	358	0	358	step 2	
1221	62597	-1	303	0	303	step 2	
138840	149670	-1	257	0	257	step 2	
207336	149670	-1	122	0	122	step 2	
34224	202129	-1	309	0	309	step 2	
3356	62856	-1	6747	0	6747	step 2	
1299	62856	-1	2510	0	2510	step 2	
6939	397131	-1	10884	0	10884	step 2	
60011	397131	-1	32	0	32	step 2	
32169	397131	-1	4	0	4	step 2	
7713	23953	-1	714	0	714	step 2	
23947	23953	-1	420	0	420	step 2	
4761	23953	-1	311	0	311	step 2	
137	197440	-1	56	0	56	step 2	
2597	197440	-1	2	0	2	step 2	
3356	197981	-1	6747	0	6747	step 2	
6939	197981	-1	10884	0	10884	step 2	
199081	209150	-1	20	0	20	step 2	
3356	35793	-1	6747	0	6747	step 2	
1299	35793	-1	2510	0	2510	step 2	
6939	35793	-1	10884	0	10884	step 2	
1836	35793	-1	1102	0	1102	step 2	
34224	35793	-1	309	0	309	step 2	
6461	12654	-1	2722	0	2722	step 2	
2914	12654	-1	1580	0	1580	step 2	
3320	12654	-1	698	0	698	step 2	
6762	12654	-1	688	0	688	step 2	
6453	12654	-1	648	0	648	step 2	
6939	12654	-1	10884	0	10884	step 2	
35280	12654	-1	4749	0	4749	step 2	
25091	12654	-1	3178	0	3178	step 2	
9002	12654	-1	2932	0	2932	step 2	
34549	12654	-1	2288	0	2288	step 2	
20764	12654	-1	1837	0	1837	step 2	
29075	12654	-1	1698	0	1698	step 2	
48362	12654	-1	1698	0	1698	step 2	
8218	12654	-1	1553	0	1553	step 2	
3214	12654	-1	1540	0	1540	step 2	
34019	12654	-1	1522	0	1522	step 2	
8758	12654	-1	1352	0	1352	step 2	
50673	12654	-1	1091	0	1091	step 2	
47147	12654	-1	908	0	908	step 2	
50304	12654	-1	904	0	904	step 2	
13030	12654	-1	851	0	851	step 2	
12779	12654	-1	725	0	725	step 2	
12637	12654	-1	705	0	705	step 2	
50629	12654	-1	627	0	627	step 2	
58057	12654	-1	612	0	612	step 2	
1103	12654	-1	565	0	565	step 2	
13237	12654	-1	403	0	403	step 2	
24961	12654	-1	389	0	389	step 2	
8455	12654	-1	330	0	330	step 2	
2497	12654	-1	329	0	329	step 2	
6730	12654	-1	241	0	241	step 2	
917	12654	-1	193	0	193	step 2	
44684	12654	-1	173	0	173	step 2	
57695	12654	-1	172	0	172	step 2	
56987	12654	-1	169	0	169	step 2	
42541	12654	-1	159	0	159	step 2	
6233	12654	-1	153	0	153	step 2	
3170	12654	-1	133	0	133	step 2	
25220	12654	-1	122	0	122	step 2	
35266	12654	-1	109	0	109	step 2	
3333	12654	-1	105	0	105	step 2	
19151	12654	-1	88	0	88	step 2	
2027	12654	-1	81	0	81	step 2	
49434	12654	-1	76	0	76	step 2	
21700	12654	-1	71	0	71	step 2	
6894	12654	-1	67	0	67	step 2	
204092	12654	-1	62	0	62	step 2	
8607	12654	-1	47	0	47	step 2	
20811	12654	-1	40	0	40	step 2	
6391	12654	-1	31	0	31	step 2	
41722	12654	-1	26	0	26	step 2	
513	12654	-1	25	0	25	step 2	
46997	12654	-1	24	0	24	step 2	
265721	12654	-1	22	0	22	step 2	
61218	12654	-1	18	0	18	step 2	
1280	12654	-1	15	0	15	step 2	
58313	12654	-1	9	0	9	step 2	
21412	12654	-1	6	0	6	step 2	
34800	12654	-1	6	0	6	step 2	
15692	12654	-1	6	0	6	step 2	
15562	12654	-1	6	0	6	step 2	
142289	12654	-1	6	0	6	step 2	
151381	12654	-1	5	0	5	step 2	
399580	12654	-1	4	0	4	step 2	
213151	12654	-1	3	0	3	step 2	
6939	59891	-1	10884	0	10884	step 2	
51395	59891	-1	54	0	54	step 2	
18390	9266	-1	25	0	25	step 2	
38158	17440	-1	384	0	384	step 2	
45147	17886	-1	281	0	281	step 2	
174	48519	-1	6870	0	6870	step 2	
6939	48519	-1	10884	0	10884	step 2	
174	8632	-1	6870	0	6870	step 2	
3320	8632	-1	698	0	698	step 2	
6939	8632	-1	10884	0	10884	step 2	
56665	8632	-1	211	0	211	step 2	
38158	17450	-1	384	0	384	step 2	
4761	17450	-1	311	0	311	step 2	
7632	17450	-1	74	0	74	step 2	
45147	147120	-1	281	0	281	step 2	
45296	147120	-1	146	0	146	step 2	
174	42366	-1	6870	0	6870	step 2	
3356	42366	-1	6747	0	6747	step 2	
9002	42366	-1	2932	0	2932	step 2	
26548	42366	-1	20	0	20	step 2	
3356	62713	-1	6747	0	6747	step 2	
1299	62713	-1	2510	0	2510	step 2	
3257	62713	-1	1869	0	1869	step 2	
2914	62713	-1	1580	0	1580	step 2	
4637	62713	-1	707	0	707	step 2	
5580	62713	-1	135	0	135	step 2	
4800	150937	-1	397	0	397	step 2	
1299	54309	-1	2510	0	2510	step 2	
6939	54309	-1	10884	0	10884	step 2	
25369	54309	-1	723	0	723	step 2	
3356	60350	-1	6747	0	6747	step 2	
1299	60350	-1	2510	0	2510	step 2	
2914	60350	-1	1580	0	1580	step 2	
2914	12850	-1	1580	0	1580	step 2	
3491	12850	-1	744	0	744	step 2	
3302	12850	-1	96	0	96	step 2	
3356	31449	-1	6747	0	6747	step 2	
174	8399	-1	6870	0	6870	step 2	
1299	8399	-1	2510	0	2510	step 2	
3257	8399	-1	1869	0	1869	step 2	
6939	8399	-1	10884	0	10884	step 2	
3215	8399	-1	176	0	176	step 2	
207336	8399	-1	122	0	122	step 2	
12479	8399	-1	109	0	109	step 2	
35699	8399	-1	95	0	95	step 2	
174	15447	-1	6870	0	6870	step 2	
3356	15447	-1	6747	0	6747	step 2	
3257	15447	-1	1869	0	1869	step 2	
2914	15447	-1	1580	0	1580	step 2	
8220	15447	-1	1905	0	1905	step 2	
24785	15447	-1	241	0	241	step 2	
39591	15447	-1	124	0	124	step 2	
174	42841	-1	6870	0	6870	step 2	
1299	42841	-1	2510	0	2510	step 2	
6939	42841	-1	10884	0	10884	step 2	
174	205275	-1	6870	0	6870	step 2	
9002	205275	-1	2932	0	2932	step 2	
8708	205275	-1	492	0	492	step 2	
9050	205275	-1	345	0	345	step 2	
39737	205275	-1	240	0	240	step 2	
174	12876	-1	6870	0	6870	step 2	
3356	12876	-1	6747	0	6747	step 2	
1299	12876	-1	2510	0	2510	step 2	
1299	33986	-1	2510	0	2510	step 2	
3257	33986	-1	1869	0	1869	step 2	
6939	33986	-1	10884	0	10884	step 2	
3356	47195	-1	6747	0	6747	step 2	
1299	47195	-1	2510	0	2510	step 2	
3257	47195	-1	1869	0	1869	step 2	
13335	47195	-1	1046	0	1046	step 2	
2914	52075	-1	1580	0	1580	step 2	
6762	52075	-1	688	0	688	step 2	
174	62902	-1	6870	0	6870	step 2	
6939	205138	-1	10884	0	10884	step 2	
57344	205138	-1	335	0	335	step 2	
34224	205138	-1	309	0	309	step 2	
29244	205138	-1	12	0	12	step 2	
3356	209823	-1	6747	0	6747	step 2	
5511	209823	-1	364	0	364	step 2	
6939	209823	-1	10884	0	10884	step 2	
25091	209823	-1	3178	0	3178	step 2	
3356	9036	-1	6747	0	6747	step 2	
6762	9036	-1	688	0	688	step 2	
29075	9036	-1	1698	0	1698	step 2	
6939	197000	-1	10884	0	10884	step 2	
47147	197000	-1	908	0	908	step 2	
12859	197000	-1	447	0	447	step 2	
1273	197000	-1	270	0	270	step 2	
4713	197000	-1	135	0	135	step 2	
5404	197000	-1	117	0	117	step 2	
51375	197000	-1	107	0	107	step 2	
61461	197000	-1	61	0	61	step 2	
945	197000	-1	55	0	55	step 2	
62416	197000	-1	38	0	38	step 2	
41494	197000	-1	23	0	23	step 2	
9885	197000	-1	22	0	22	step 2	
136308	197000	-1	17	0	17	step 2	
7131	197000	-1	14	0	14	step 2	
24796	197000	-1	6	0	6	step 2	
53046	197000	-1	6	0	6	step 2	
2914	12355	-1	1580	0	1580	step 2	
6939	12355	-1	10884	0	10884	step 2	
39138	12355	-1	20	0	20	step 2	
174	62041	-1	6870	0	6870	step 2	
3356	62041	-1	6747	0	6747	step 2	
6762	62041	-1	688	0	688	step 2	
5511	62041	-1	364	0	364	step 2	
12956	62041	-1	261	0	261	step 2	
1273	62041	-1	270	0	270	step 2	
57344	198228	-1	335	0	335	step 2	
8717	198228	-1	310	0	310	step 2	
34224	198228	-1	309	0	309	step 2	
6939	210890	-1	10884	0	10884	step 2	
34927	210890	-1	2446	0	2446	step 2	
34872	210890	-1	226	0	226	step 2	
50083	210890	-1	61	0	61	step 2	
49870	210890	-1	14	0	14	step 2	
174	207063	-1	6870	0	6870	step 2	
3257	207063	-1	1869	0	1869	step 2	
3356	12759	-1	6747	0	6747	step 2	
1299	12759	-1	2510	0	2510	step 2	
3320	12759	-1	698	0	698	step 2	
6939	12759	-1	10884	0	10884	step 2	
34224	208389	-1	309	0	309	step 2	
174	21245	-1	6870	0	6870	step 2	
3257	21245	-1	1869	0	1869	step 2	
3491	21245	-1	744	0	744	step 2	
6939	21245	-1	10884	0	10884	step 2	
7195	21245	-1	2558	0	2558	step 2	
20473	21245	-1	1336	0	1336	step 2	
8966	21245	-1	591	0	591	step 2	
39386	21245	-1	290	0	290	step 2	
35753	21245	-1	211	0	211	step 2	
15924	21245	-1	144	0	144	step 2	
8781	21245	-1	106	0	106	step 2	
61135	21245	-1	90	0	90	step 2	
8452	21245	-1	84	0	84	step 2	
35819	21245	-1	74	0	74	step 2	
43766	21245	-1	20	0	20	step 2	
42961	21245	-1	19	0	19	step 2	
34224	34368	-1	309	0	309	step 2	
2914	55967	-1	1580	0	1580	step 2	
3491	55967	-1	744	0	744	step 2	
6762	55967	-1	688	0	688	step 2	
6453	55967	-1	648	0	648	step 2	
6939	150242	-1	10884	0	10884	step 2	
38158	150242	-1	384	0	384	step 2	
45147	150242	-1	281	0	281	step 2	
138840	150242	-1	257	0	257	step 2	
6939	1126	-1	10884	0	10884	step 2	
3549	1126	-1	576	0	576	step 2	
24785	1126	-1	241	0	241	step 2	
174	12888	-1	6870	0	6870	step 2	
3356	12888	-1	6747	0	6747	step 2	
6461	12888	-1	2722	0	2722	step 2	
1299	12888	-1	2510	0	2510	step 2	
7018	12888	-1	2191	0	2191	step 2	
2914	12888	-1	1580	0	1580	step 2	
3320	12888	-1	698	0	698	step 2	
15830	12888	-1	3370	0	3370	step 2	
12085	12888	-1	70	0	70	step 2	
174	62715	-1	6870	0	6870	step 2	
3356	62715	-1	6747	0	6747	step 2	
2914	62715	-1	1580	0	1580	step 2	
6939	62715	-1	10884	0	10884	step 2	
7545	62715	-1	437	0	437	step 2	
24247	62715	-1	8	0	8	step 2	
174	27281	-1	6870	0	6870	step 2	
3356	27281	-1	6747	0	6747	step 2	
6461	27281	-1	2722	0	2722	step 2	
52025	27281	-1	360	0	360	step 2	
174	28213	-1	6870	0	6870	step 2	
3356	28213	-1	6747	0	6747	step 2	
28329	28213	-1	204	0	204	step 2	
6939	48297	-1	10884	0	10884	step 2	
34927	48297	-1	2446	0	2446	step 2	
41051	48297	-1	207	0	207	step 2	
34465	48297	-1	183	0	183	step 2	
47272	48297	-1	178	0	178	step 2	
200132	48297	-1	64	0	64	step 2	
50304	209045	-1	904	0	904	step 2	
13237	209045	-1	403	0	403	step 2	
44735	209045	-1	160	0	160	step 2	
200781	209045	-1	141	0	141	step 2	
174	41552	-1	6870	0	6870	step 2	
3356	41552	-1	6747	0	6747	step 2	
2914	41552	-1	1580	0	1580	step 2	
174	43566	-1	6870	0	6870	step 2	
2914	43566	-1	1580	0	1580	step 2	
3320	43566	-1	698	0	698	step 2	
13335	43566	-1	1046	0	1046	step 2	
7713	45701	-1	714	0	714	step 2	
45147	45701	-1	281	0	281	step 2	
1299	200052	-1	2510	0	2510	step 2	
1299	202617	-1	2510	0	2510	step 2	
5511	202617	-1	364	0	364	step 2	
12874	202617	-1	361	0	361	step 2	
7473	202617	-1	354	0	354	step 2	
812	202617	-1	230	0	230	step 2	
1299	13132	-1	2510	0	2510	step 2	
3320	13132	-1	698	0	698	step 2	
6939	13132	-1	10884	0	10884	step 2	
3356	13896	-1	6747	0	6747	step 2	
2914	13896	-1	1580	0	1580	step 2	
7473	13896	-1	354	0	354	step 2	
3257	2484	-1	1869	0	1869	step 2	
2914	2484	-1	1580	0	1580	step 2	
3320	2484	-1	698	0	698	step 2	
6939	2484	-1	10884	0	10884	step 2	
30781	2484	-1	834	0	834	step 2	
39392	2484	-1	126	0	126	step 2	
3356	39090	-1	6747	0	6747	step 2	
1299	39090	-1	2510	0	2510	step 2	
174	43009	-1	6870	0	6870	step 2	
3356	43009	-1	6747	0	6747	step 2	
3491	43009	-1	744	0	744	step 2	
6762	43009	-1	688	0	688	step 2	
6453	43009	-1	648	0	648	step 2	
6939	43009	-1	10884	0	10884	step 2	
9498	43009	-1	1233	0	1233	step 2	
13335	43009	-1	1046	0	1046	step 2	
4755	43009	-1	786	0	786	step 2	
3549	43009	-1	576	0	576	step 2	
3326	43009	-1	408	0	408	step 2	
37271	43009	-1	358	0	358	step 2	
34984	43009	-1	260	0	260	step 2	
35753	43009	-1	211	0	211	step 2	
13249	43009	-1	195	0	195	step 2	
44306	43009	-1	168	0	168	step 2	
15994	43009	-1	66	0	66	step 2	
25019	43009	-1	40	0	40	step 2	
13046	43009	-1	36	0	36	step 2	
135158	43009	-1	36	0	36	step 2	
200044	43009	-1	31	0	31	step 2	
6731	43009	-1	19	0	19	step 2	
29684	43009	-1	18	0	18	step 2	
25145	43009	-1	12	0	12	step 2	
21808	43009	-1	8	0	8	step 2	
174	198792	-1	6870	0	6870	step 2	
6762	198792	-1	688	0	688	step 2	
5511	198792	-1	364	0	364	step 2	
6939	198792	-1	10884	0	10884	step 2	
174	207176	-1	6870	0	6870	step 2	
3356	207176	-1	6747	0	6747	step 2	
24785	207176	-1	241	0	241	step 2	
174	6810	-1	6870	0	6870	step 2	
3356	6810	-1	6747	0	6747	step 2	
1299	6810	-1	2510	0	2510	step 2	
3257	6810	-1	1869	0	1869	step 2	
2914	6810	-1	1580	0	1580	step 2	
6762	6810	-1	688	0	688	step 2	
6453	6810	-1	648	0	648	step 2	
208905	6810	-1	30	0	30	step 2	
25091	45009	-1	3178	0	3178	step 2	
8283	45009	-1	241	0	241	step 2	
174	5390	-1	6870	0	6870	step 2	
24785	5390	-1	241	0	241	step 2	
174	61098	-1	6870	0	6870	step 2	
33891	61098	-1	2095	0	2095	step 2	
13030	61098	-1	851	0	851	step 2	
8717	61098	-1	310	0	310	step 2	
8447	61098	-1	274	0	274	step 2	
6893	61098	-1	17	0	17	step 2	
6939	213201	-1	10884	0	10884	step 2	
20473	213201	-1	1336	0	1336	step 2	
207336	213201	-1	122	0	122	step 2	
2914	9605	-1	1580	0	1580	step 2	
2497	9605	-1	329	0	329	step 2	
2514	9605	-1	25	0	25	step 2	
1299	21040	-1	2510	0	2510	step 2	
6730	21040	-1	241	0	241	step 2	
3356	31084	-1	6747	0	6747	step 2	
3257	31084	-1	1869	0	1869	step 2	
3356	51752	-1	6747	0	6747	step 2	
3257	51752	-1	1869	0	1869	step 2	
3491	51752	-1	744	0	744	step 2	
3356	199790	-1	6747	0	6747	step 2	
1299	199790	-1	2510	0	2510	step 2	
3257	199790	-1	1869	0	1869	step 2	
29838	199790	-1	264	0	264	step 2	
174	12678	-1	6870	0	6870	step 2	
1299	12678	-1	2510	0	2510	step 2	
3257	12678	-1	1869	0	1869	step 2	
6453	12678	-1	648	0	648	step 2	
6939	12678	-1	10884	0	10884	step 2	
8220	12678	-1	1905	0	1905	step 2	
19551	12678	-1	453	0	453	step 2	
1299	20144	-1	2510	0	2510	step 2	
3257	20144	-1	1869	0	1869	step 2	
2914	20144	-1	1580	0	1580	step 2	
3491	20144	-1	744	0	744	step 2	
6939	20144	-1	10884	0	10884	step 2	
37100	20144	-1	2148	0	2148	step 2	
16735	20144	-1	819	0	819	step 2	
53062	20144	-1	415	0	415	step 2	
1221	20144	-1	303	0	303	step 2	
17557	20144	-1	302	0	302	step 2	
29049	20144	-1	245	0	245	step 2	
37721	20144	-1	223	0	223	step 2	
12883	20144	-1	209	0	209	step 2	
38880	20144	-1	193	0	193	step 2	
31287	20144	-1	180	0	180	step 2	
6697	20144	-1	156	0	156	step 2	
12731	20144	-1	145	0	145	step 2	
33920	20144	-1	97	0	97	step 2	
8452	20144	-1	84	0	84	step 2	
15954	20144	-1	51	0	51	step 2	
18200	20144	-1	40	0	40	step 2	
19653	20144	-1	38	0	38	step 2	
23550	20144	-1	32	0	32	step 2	
48287	20144	-1	28	0	28	step 2	
10084	20144	-1	20	0	20	step 2	
42961	20144	-1	19	0	19	step 2	
13657	20144	-1	18	0	18	step 2	
40528	20144	-1	12	0	12	step 2	
27839	20144	-1	9	0	9	step 2	
47445	20144	-1	7	0	7	step 2	
8522	20144	-1	5	0	5	step 2	
21282	20144	-1	5	0	5	step 2	
3653	20144	-1	4	0	4	step 2	
23028	20144	-1	3	0	3	step 2	
208398	20144	-1	2	0	2	step 2	
29432	20144	-1	2	0	2	step 2	
57801	20144	-1	2	0	2	step 2	
1797	20144	-1	2	0	2	step 2	
7590	20144	-1	2	0	2	step 2	
210767	20144	-1	2	0	2	step 2	
174	31673	-1	6870	0	6870	step 2	
2914	31673	-1	1580	0	1580	step 2	
174	47836	-1	6870	0	6870	step 2	
3356	47836	-1	6747	0	6747	step 2	
3257	47836	-1	1869	0	1869	step 2	
49127	47836	-1	162	0	162	step 2	
2497	131958	-1	329	0	329	step 2	
2519	131958	-1	100	0	100	step 2	
174	20886	-1	6870	0	6870	step 2	
3356	20886	-1	6747	0	6747	step 2	
1299	20886	-1	2510	0	2510	step 2	
6939	20886	-1	10884	0	10884	step 2	
6939	15606	-1	10884	0	10884	step 2	
31229	15606	-1	128	0	128	step 2	
1887	15606	-1	29	0	29	step 2	
3356	62336	-1	6747	0	6747	step 2	
1299	62336	-1	2510	0	2510	step 2	
3356	26464	-1	6747	0	6747	step 2	
6461	26464	-1	2722	0	2722	step 2	
1299	26464	-1	2510	0	2510	step 2	
2914	26464	-1	1580	0	1580	step 2	
3491	26464	-1	744	0	744	step 2	
3320	26464	-1	698	0	698	step 2	
4766	26464	-1	636	0	636	step 2	
