# step 1: set peering in clique
1239|12956|0
1239|1299|0
1239|174|0
1239|209|0
1239|2828|0
1239|286|0
1239|2914|0
1239|3257|0
1239|3320|0
1239|3356|0
1239|3491|0
1239|5511|0
1239|6453|0
1239|6461|0
1239|6762|0
1239|6830|0
1239|701|0
1239|7018|0
12956|1299|0
12956|174|0
12956|209|0
12956|2828|0
12956|286|0
12956|2914|0
12956|3257|0
12956|3320|0
12956|3356|0
12956|3491|0
12956|5511|0
12956|6453|0
12956|6461|0
12956|6762|0
12956|6830|0
12956|701|0
12956|7018|0
1299|174|0
1299|209|0
1299|2828|0
1299|286|0
1299|2914|0
1299|3257|0
1299|3320|0
1299|3356|0
1299|3491|0
1299|5511|0
1299|6453|0
1299|6461|0
1299|6762|0
1299|6830|0
1299|701|0
1299|7018|0
174|209|0
174|2828|0
174|286|0
174|2914|0
174|3257|0
174|3320|0
174|3356|0
174|3491|0
174|5511|0
174|6453|0
174|6461|0
174|6762|0
174|6830|0
174|701|0
174|7018|0
209|2828|0
209|286|0
209|2914|0
209|3257|0
209|3320|0
209|3356|0
209|3491|0
209|5511|0
209|6453|0
209|6461|0
209|6762|0
209|6830|0
209|701|0
209|7018|0
2828|286|0
2828|2914|0
2828|3257|0
2828|3320|0
2828|3356|0
2828|3491|0
2828|5511|0
2828|6453|0
2828|6461|0
2828|6762|0
2828|6830|0
2828|701|0
2828|7018|0
286|2914|0
286|3257|0
286|3320|0
286|3356|0
286|3491|0
286|5511|0
286|6453|0
286|6461|0
286|6762|0
286|6830|0
286|701|0
286|7018|0
2914|3257|0
2914|3320|0
2914|3356|0
2914|3491|0
2914|5511|0
2914|6453|0
2914|6461|0
2914|6762|0
2914|6830|0
2914|701|0
2914|7018|0
3257|3320|0
3257|3356|0
3257|3491|0
3257|5511|0
3257|6453|0
3257|6461|0
3257|6762|0
3257|6830|0
3257|701|0
3257|7018|0
3320|3356|0
3320|3491|0
3320|5511|0
3320|6453|0
3320|6461|0
3320|6762|0
3320|6830|0
